Keyword,Endeca Qty, Solr Qty
MENS NECKLACES AND PENDANTS,82,82
SNOW WHITE,26,26
DOGS,252,250
MARINE,109,111
IRISH,41,41
DRAGON,21,21
SISTER,35,35
WALL CLOCKS,138,138
CHRISTMAS TREES,75,71
WOMENS WATCHES,76,76
CARDINAL,115,115
STEELERS,56,56
ALIEN,7,7
BOSTON RED SOX,32,32
BUDWEISER,29,29
ENGAGEMENT RINGS,87,49
HARLEY DAVIDSON AND REG ZIPPO AND REG LIGHTER COLLECTION,2,1
GRADUATION,212,213
SNOW GLOBES,122,121
UNICORN,8,8
CARS,180,179
DISNEY PURSE,10,0
MARINE CORPS,109,105
EASTER,68,68
PURSE,126,126
SEATTLE SEAHAWKS,50,50
BEATLES,0,0
CANCEL ORDER,0,0
WEDDING,218,217
EAGLE,239,239
DREAMCATCHERS,26,44
SON,59,58
NECKLACE,449,449
SNOW GLOBE,122,121
SONS OF ANARCHY,2,2
DEER,26,26
BIRDS,347,253
JEWELRY BOXES,18,17
EARRINGS,54,54
NEW YORK GIANTS,20,19
BIRTHSTONE RINGS,47,38
FOOTPRINTS IN THE SAND,18,18
HUMMINGBIRDS,27,27
LAMP,116,116
FIREFIGHTERS,41,41
PLATES,126,126
HORSES,29,29
OHIO STATE BUCKEYES,35,35
ALABAMA CRIMSON TIDE,22,22
ELEPHANT,40,40
LITTLE MERMAID,10,10
PROMISE RINGS,77,77
POLICE,23,21
RELIGIOUS,315,315
WOMENS JEWELRY,741,430
MIAMI DOLPHINS,14,14
WEDDING RING,88,14
I LOVE LUCY,14,14
MOM,180,174
ZIPPO,66,66
BRIDAL SETS,50,21
WASHINGTON REDSKINS,23,23
MOTHER,180,174
MENS JEWELRY,221,168
JESUS,52,33
DACHSHUNDS,74,74
YORKIE,37,41
YANKEES,34,34
FAIRY,79,79
STEINS,56,56
SAN FRANCISCO 49ERS,26,26
LENA LIU,39,39
MENS JACKETS,139,139
WELCOME SIGNS,137,137
WOMENS WALLETS,49,49
NFL,775,775
CORVETTE,16,16
WEDDING RING SETS,32,12
HORSE,29,28
OWLS,19,19
MOTORCYCLES,94,94
49ERS,26,26
BRIDAL SET,50,21
FIGURINES,1000,1000
ALWAYS MY DAUGHTER DIAMOND PENDANT NECKLACE,7,3
OBAMA,53,53
HANDBAGS AND ACCESSORIES,270,270
CHARM BRACELET,138,133
LION KING,5,5
NIGHTMARE,59,59
DISNEY SHOES,13,8
NURSE,13,13
SHOES,115,115
DOG,252,246
POOH,16,16
VALENTINES,28,28
OWL,19,19
BRACELET,314,313
ST LOUIS CARDINALS,21,21
