Keyword,Endeca Qty, Solr Qty
MENS NECKLACES AND PENDANTS,77,82
SNOW WHITE,24,26
DOGS,246,250
MARINE,109,111
IRISH,41,41
DRAGON,22,21
SISTER,36,35
WALL CLOCKS,139,138
CHRISTMAS TREES,73,71
WOMENS WATCHES,76,76
CARDINAL,110,115
STEELERS,53,56
ALIEN,7,7
BOSTON RED SOX,31,32
BUDWEISER,30,29
ENGAGEMENT RINGS,88,49
HARLEY DAVIDSON AND REG ZIPPO AND REG LIGHTER COLLECTION,2,1
GRADUATION,214,213
SNOW GLOBES,117,121
UNICORN,10,8
CARS,176,179
DISNEY PURSE,9,0
MARINE CORPS,109,105
EASTER,67,68
PURSE,125,126
SEATTLE SEAHAWKS,43,50
BEATLES,0,0
CANCEL ORDER,0,0
WEDDING,216,217
EAGLE,232,238
DREAMCATCHERS,27,44
SON,65,58
NECKLACE,436,449
SNOW GLOBE,117,121
SONS OF ANARCHY,10,2
DEER,27,26
BIRDS,341,346
JEWELRY BOXES,18,17
EARRINGS,50,54
NEW YORK GIANTS,20,19
BIRTHSTONE RINGS,46,38
FOOTPRINTS IN THE SAND,19,18
HUMMINGBIRDS,28,27
LAMP,118,116
FIREFIGHTERS,41,41
PLATES,131,126
HORSES,28,30
OHIO STATE BUCKEYES,35,35
ALABAMA CRIMSON TIDE,22,22
ELEPHANT,40,40
LITTLE MERMAID,9,10
PROMISE RINGS,77,77
POLICE,22,21
RELIGIOUS,315,315
WOMENS JEWELRY,744,1000
MIAMI DOLPHINS,14,14
WEDDING RING,89,14
I LOVE LUCY,14,14
MOM,185,174
ZIPPO,66,66
BRIDAL SETS,50,21
WASHINGTON REDSKINS,20,23
MOTHER,185,174
MENS JEWELRY,224,344
JESUS,51,33
DACHSHUNDS,74,74
YORKIE,39,41
YANKEES,35,34
FAIRY,79,79
STEINS,58,56
SAN FRANCISCO 49ERS,24,26
LENA LIU,39,39
MENS JACKETS,139,139
WELCOME SIGNS,140,137
WOMENS WALLETS,49,49
NFL,732,775
CORVETTE,15,16
WEDDING RING SETS,32,12
HORSE,28,29
OWLS,18,19
MOTORCYCLES,103,94
49ERS,24,26
BRIDAL SET,50,21
FIGURINES,1000,1000
ALWAYS MY DAUGHTER DIAMOND PENDANT NECKLACE,8,3
OBAMA,50,53
HANDBAGS AND ACCESSORIES,271,270
CHARM BRACELET,140,133
LION KING,4,5
NIGHTMARE,61,59
DISNEY SHOES,13,8
NURSE,14,13
SHOES,80,115
DOG,246,246
POOH,16,16
VALENTINES,27,28
OWL,18,19
BRACELET,317,313
ST LOUIS CARDINALS,19,21
