Keyword,Endeca Qty, Solr Qty
HARRY POTTER,9,9
CHECKS,0,0
DISNEY,315,292
WOMENS RINGS,402,368
STAR WARS,28,28
PEANUTS,50,50
RINGS,532,531
NEW ENGLAND PATRIOTS,60,0
DALLAS COWBOYS,47,46
NIGHTMARE BEFORE CHRISTMAS,61,61
WIZARD OF OZ,32,32
SNOOPY,28,27
KISS,41,43
ARMY,62,59
MICKEY MOUSE,99,92
BATMAN,10,10
MENS RINGS,137,131
MARVEL,15,15
PRECIOUS MOMENTS,246,246
BETTY BOOP,18,18
PHILADELPHIA EAGLES,33,32
BEAUTY AND THE BEAST,16,14
NAVY,64,0
WOMENS BRACELETS,317,316
JOHN WAYNE,59,59
WOMENS NECKLACES AND PENDANTS,360,105
MARINES,109,105
DAUGHTER,159,158
WEDDING RINGS,89,14
STAR TREK,22,22
MOTHERS RING,38,6
USMC,109,105
WINNIE THE POOH,16,15
PITTSBURGH STEELERS,53,52
AIR FORCE,47,46
CATS,158,158
WOLF,120,116
ELVIS,72,72
SNOWGLOBES WATER GLOBES,117,1
EAGLES,232,227
NEW ORLEANS SAINTS,30,30
ANGELS,169,157
CLOCKS,176,176
CARDINALS,110,92
GRANDDAUGHTER,175,174
RING,532,531
HELLO KITTY,4,4
A MOTHERS EMBRACE PERSONALIZED BIRTHSTONE RING,2,2
CHRISTMAS,540,502
ALICE IN WONDERLAND,6,6
ELEPHANTS,40,40
MILITARY,289,247
MOTHERS RINGS,38,6
WOLVES,120,116
CHICAGO BEARS,27,27
COINS,298,283
WEDDING SETS,38,32
MICKEY,114,114
MARILYN MONROE,7,7
DISNEY PRINCESS,57,29
HARLEY DAVIDSON,4,4
CHICAGO CUBS,43,43
COCA COLA,40,40
WOMENS EARRINGS,50,33
TINKER BELL,22,21
GREEN BAY PACKERS,55,54
CAT,158,158
PATRIOTS,86,84
THOMAS KINKADE,279,278
CLEMSON,13,13
CLOCK,176,176
OAKLAND RAIDERS,17,16
DRAGONS,22,19
TINKERBELL,22,21
CLEMSON TIGERS,13,12
CUCKOO CLOCKS,108,106
MENS BRACELETS,62,62
GONE WITH THE WIND,7,6
MUNSTERS,8,8
PURSES,125,125
WEDDING BANDS,43,39
KANSAS CITY CHIEFS,17,17
CALENDARS,13,13
CALENDAR,13,13
MUSIC BOX,178,172
DENVER BRONCOS,42,41
COLLECTOR PLATES,131,130
GRANDSON,50,50
CINDERELLA,25,24
NATIVE AMERICAN STYLE,173,16
CROSS,132,131
FAIRIES,79,76
BUTTERFLY,48,48
EEYORE,5,5
MUSIC BOXES,178,172
MENS WATCHES,69,69
NEW YORK YANKEES,34,34
LAMPS,118,116
ANGEL,169,157
